ID,简称
1904,58122
13263,58133
13674,58462
1891,58894
12964,58914
13359,58996
13164,59014
13342,59052
13335,59063
13788,59172
13288,59212
12934,59223
13319,59422
13141,59762
13204,60164
13507,60165
14006,60225
2214,60258
13485,60284
13989,60382
13176,60447
3833,60473
2470,60593
12979,60763
3372,60782
3437,60793
3231,60852
3445,60873
13026,60977
2479,61017
2202,61023
13237,61082
13238,61115
13665,61152
8054,61225
3370,61363
3095,61626
13290,61643
13296,61689
3239,61832
13242,61852
3364,61873
6825,62072
13682,62764
3348,63092
1934,63132
3506,63232
3126,63472
13497,63553
4368,63612
13503,63632
13268,63973
2726,64083
13165,64112
13376,64165
13526,64560
12935,64613
13186,64682
3189,64737
2336,64763
13313,64773
13156,64784
13352,64824
1657,64882
6467,64917
13504,64919
5624,64983
7787,65025
2473,65132
3145,65152
13652,65192
3459,65283
7947,65322
13351,65382
7474,65392
7503,65393
13142,65432
3006,65463
13341,65534
13478,65565
3256,65683
13144,65694
13642,65712
13501,65823
3207,65862
3248,65893
13817,65904
13060,65914
7429,65924
2379,65978
13794,66025
12933,66092
13257,66172
3463,66182
13041,66244
3033,66303
12955,66382
13337,66402
3011,66412
8350,66453
6905,66463
13328,66472
13810,66533
1933,66543
13792,66603
3253,66622
3295,66642
3113,66832
3470,67012
13322,67072
3477,67083
13473,67083
13014,67142
3039,67212
3469,67213
13221,67224
13513,67252
12899,67302
3167,67383
1929,67396
2610,67452
3162,67462
13171,67662
2030,67833
3474,67843
7469,67864
13065,67952
13649,68102
3482,68142
3036,68152
13830,68162
13151,68292
5872,68332
13084,68342
7091,68392
13229,68482
2542,68524
13281,68525
5270,68578
1813,68706
13066,68722
2793,68792
13136,68823
3148,68838
3174,68932
3171,68953
13244,69043
13184,69063
7531,69082
13490,69462
2108,69792
2467,69952
13203,69992
2043,70022
2403,70032
13188,70042
2070,70043
2466,70073
13381,70223
13013,70374
2608,70375
13348,70422
14002,70432
2496,70442
4170,70553
2343,70554
2026,70556
13248,73324
2022,73343
12938,73501
13205,73741
2012,73981
2029,74001
13805,74281
